card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
ST01-011,3.0,Brook (ST01-011) (Reprint) [Premium Booster -The Best- Vol. 2],Common,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/brook-st01-011-reprint-premium-booster-the-best-vol-2
ST01-014,3.0,Guard Point [Starter Deck: Straw Hat Crew],Common,Knightly Gaming,Starter Deck: Straw Hat Crew,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/guard-point-starter-deck-straw-hat-crew
OP13-086,8.0,Saint Shalria,Uncommon,Tanuki Trader,Carrying On His Will (OP13),,6 in stock,6 in stock,https://tanukitrader.co.za/product/saint-shalria/
OP13-091,10.0,St. Marcus Mars,Rare,Tanuki Trader,Carrying On His Will (OP13),,3 in stock,3 in stock,https://tanukitrader.co.za/product/st-marcus-mars/
OP07-072,40.0,Porche [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R40.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/porche-500-years-in-the-future
OP10-071,83.0,Donquixote Doflamingo [Royal Blood],Super Rare,Knightly Gaming,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R83.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/donquixote-doflamingo-royal-blood
ST01-004,170.0,Sanji [One Piece Film: Red],Common,Big Bang Shop,One Piece Film: Red,Near Mint Foil,In stock,Near Mint Foil R170.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/sanji-one-piece-film-red
OP02-120,180.0,Uta (OP02-120) (Premium Card Collection -Uta-) [One Piece Promotion Cards],Secret Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R180.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-op02-120-premium-card-collection-uta-one-piece-promotion-cards
OP02-120,200.0,Uta [Paramount War],Secret Rare,Big Bang Shop,Paramount War,Near Mint Foil,In stock,Near Mint Foil R200.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-paramount-war
OP05-074,298.0,"Eustass""Captain""Kid (OP05-074) (Alternate Art) [Premium Booster -The Best-]",Super Rare,Knightly Gaming,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R298.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/eustasscaptainkid-op05-074-alternate-art-premium-booster-the-best
OP14-091,358.0,Mr.2.Bon.Kurei (Bentham) (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R358.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/mr-2-bon-kurei-bentham-alternate-art-the-azure-seas-seven
OP07-057,385.0,Perfume Femur (Premium Card Collection -Best Selection Vol. 4-) [One Piece Promotion Cards],Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R385.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/perfume-femur-premium-card-collection-best-selection-vol-4-one-piece-promotion-cards
OP02-120,395.0,Uta (Alternate Art) [Paramount War],Secret Rare,Big Bang Shop,Paramount War,Near Mint Foil,In stock,Near Mint Foil R395.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-alternate-art-paramount-war
OP06-115,420.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R420.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP06-101,430.0,O-Nami (Alternate Art) [Wings of the Captain],Rare,Big Bang Shop,Wings of the Captain,Near Mint Foil,In stock,Near Mint Foil R430.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/o-nami-alternate-art-wings-of-the-captain
OP06-115,435.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Big Bang Shop,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R435.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP14-033,523.0,Perona (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R523.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/perona-alternate-art-the-azure-seas-seven
OP02-001,655.0,Edward.Newgate (Special Goods Set -Former Four Emperors-) [One Piece Promotion Cards],Leader,Knightly Gaming,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R655.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/edward-newgate-special-goods-set-former-four-emperors-one-piece-promotion-cards
OP11-054,660.0,Nami (054) (Alternate Art) [A Fist of Divine Speed],Super Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R660.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-054-alternate-art-a-fist-of-divine-speed
OP04-056,670.0,Gum-Gum Red Roc (Alternate Art) [Premium Booster -The Best-],Rare,Big Bang Shop,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R670.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/gum-gum-red-roc-alternate-art-premium-booster-the-best
OP14-084,840.0,Ms. All Sunday (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R840.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ms-all-sunday-alternate-art-the-azure-seas-seven
OP01-035,930.0,Okiku (SP) [500 Years in the Future],Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R930.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/okiku-sp-500-years-in-the-future
