card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
ST01-011,3.0,Brook (ST01-011) (Reprint) [Premium Booster -The Best- Vol. 2],Common,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/brook-st01-011-reprint-premium-booster-the-best-vol-2
ST01-014,3.0,Guard Point [Starter Deck: Straw Hat Crew],Common,Knightly Gaming,Starter Deck: Straw Hat Crew,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/guard-point-starter-deck-straw-hat-crew
OP10-071,83.0,Donquixote Doflamingo [Royal Blood],Super Rare,Knightly Gaming,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R83.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/donquixote-doflamingo-royal-blood
OP05-074,298.0,"Eustass""Captain""Kid (OP05-074) (Alternate Art) [Premium Booster -The Best-]",Super Rare,Knightly Gaming,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R298.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/eustasscaptainkid-op05-074-alternate-art-premium-booster-the-best
OP14-091,358.0,Mr.2.Bon.Kurei (Bentham) (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R358.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/mr-2-bon-kurei-bentham-alternate-art-the-azure-seas-seven
OP06-115,420.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R420.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP14-033,523.0,Perona (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R523.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/perona-alternate-art-the-azure-seas-seven
OP02-001,655.0,Edward.Newgate (Special Goods Set -Former Four Emperors-) [One Piece Promotion Cards],Leader,Knightly Gaming,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R655.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/edward-newgate-special-goods-set-former-four-emperors-one-piece-promotion-cards
OP11-054,660.0,Nami (054) (Alternate Art) [A Fist of Divine Speed],Super Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R660.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-054-alternate-art-a-fist-of-divine-speed
OP14-084,840.0,Ms. All Sunday (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R840.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ms-all-sunday-alternate-art-the-azure-seas-seven
OP14-031,1270.0,Nami (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R1270.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-alternate-art-the-azure-seas-seven
OP14-096,1875.0,Ground Death (Alternate Art) [The Azure Sea's Seven],Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R1875.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ground-death-alternate-art-the-azure-seas-seven
