card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP08-087,1.0,Scratchmen Apoo (OP08-087) (Reprint) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-reprint-premium-booster-the-best-vol-2
OP08-087,1.0,Scratchmen Apoo [Two Legends],Uncommon,Knightly Gaming,Two Legends,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-two-legends
OP08-087,3.0,Scratchmen Apoo (OP08-087) (Pirate Foil) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-pirate-foil-premium-booster-the-best-vol-2
OP11-038,3.0,Gum-Gum Elephant Gatling [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-elephant-gatling-a-fist-of-divine-speed
OP11-114,3.0,Gum-Gum Fire-Fist Pistol Red Hawk [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-fire-fist-pistol-red-hawk-a-fist-of-divine-speed
ST01-011,3.0,Brook (ST01-011) (Reprint) [Premium Booster -The Best- Vol. 2],Common,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/brook-st01-011-reprint-premium-booster-the-best-vol-2
ST01-014,3.0,Guard Point [Starter Deck: Straw Hat Crew],Common,Knightly Gaming,Starter Deck: Straw Hat Crew,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/guard-point-starter-deck-straw-hat-crew
OP08-087,5.0,Scratchmen Apoo,Uncommon,Tanuki Trader,Two Legends (OP08),,33 in stock,33 in stock,https://tanukitrader.co.za/product/scratchmen-apoo-4/
OP13-086,8.0,Saint Shalria,Uncommon,Tanuki Trader,Carrying On His Will (OP13),,6 in stock,6 in stock,https://tanukitrader.co.za/product/saint-shalria/
OP13-091,10.0,St. Marcus Mars,Rare,Tanuki Trader,Carrying On His Will (OP13),,3 in stock,3 in stock,https://tanukitrader.co.za/product/st-marcus-mars/
OP07-072,50.0,Porche [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R50.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/porche-500-years-in-the-future
OP10-071,87.0,Donquixote Doflamingo [Royal Blood],Super Rare,Knightly Gaming,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R87.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/donquixote-doflamingo-royal-blood
OP07-085,295.0,Stussy (Parallel) [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R295.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/stussy-parallel-500-years-in-the-future
OP05-074,319.0,"Eustass""Captain""Kid (OP05-074) (Alternate Art) [Premium Booster -The Best-]",Super Rare,Knightly Gaming,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R319.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/eustasscaptainkid-op05-074-alternate-art-premium-booster-the-best
OP12-118,365.0,Jewelry Bonney [Legacy of the Master],Secret Rare,Big Bang Shop,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R365.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/jewelry-bonney-legacy-of-the-master
OP14-091,370.0,Mr.2.Bon.Kurei (Bentham) (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R370.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/mr-2-bon-kurei-bentham-alternate-art-the-azure-seas-seven
OP12-119,385.0,Bartholomew Kuma [Legacy of the Master],Secret Rare,Big Bang Shop,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R385.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/bartholomew-kuma-legacy-of-the-master
ST01-006,415.0,Tony Tony.Chopper [One Piece Film: Red],Common,Big Bang Shop,One Piece Film: Red,Near Mint Foil,In stock,Near Mint Foil R415.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/tony-tony-chopper-one-piece-film-red
OP06-115,525.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R525.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
