card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP07-072,40.0,Porche [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R40.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/porche-500-years-in-the-future
OP01-121,55.0,Yamato (OP01-121) (Reprint) [Premium Booster -The Best-],Secret Rare,Big Bang Shop,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R55.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/yamato-op01-121-reprint-premium-booster-the-best
OP01-120,60.0,Shanks (OP01-120) (Reprint) [Premium Booster -The Best-],Secret Rare,Big Bang Shop,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R60.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/shanks-op01-120-reprint-premium-booster-the-best
OP10-118,100.0,Monkey.D.Luffy [Royal Blood],Secret Rare,Big Bang Shop,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R100.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/monkey-d-luffy-royal-blood-1
ST01-004,170.0,Sanji [One Piece Film: Red],Common,Big Bang Shop,One Piece Film: Red,Near Mint Foil,In stock,Near Mint Foil R170.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/sanji-one-piece-film-red
OP02-120,180.0,Uta (OP02-120) (Premium Card Collection -Uta-) [One Piece Promotion Cards],Secret Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R180.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-op02-120-premium-card-collection-uta-one-piece-promotion-cards
OP02-120,200.0,Uta [Paramount War],Secret Rare,Big Bang Shop,Paramount War,Near Mint Foil,In stock,Near Mint Foil R200.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-paramount-war
OP07-057,385.0,Perfume Femur (Premium Card Collection -Best Selection Vol. 4-) [One Piece Promotion Cards],Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R385.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/perfume-femur-premium-card-collection-best-selection-vol-4-one-piece-promotion-cards
OP02-120,395.0,Uta (Alternate Art) [Paramount War],Secret Rare,Big Bang Shop,Paramount War,Near Mint Foil,In stock,Near Mint Foil R395.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/uta-alternate-art-paramount-war
OP06-101,430.0,O-Nami (Alternate Art) [Wings of the Captain],Rare,Big Bang Shop,Wings of the Captain,Near Mint Foil,In stock,Near Mint Foil R430.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/o-nami-alternate-art-wings-of-the-captain
OP06-115,435.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Big Bang Shop,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R435.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP04-056,670.0,Gum-Gum Red Roc (Alternate Art) [Premium Booster -The Best-],Rare,Big Bang Shop,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R670.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/gum-gum-red-roc-alternate-art-premium-booster-the-best
OP01-035,930.0,Okiku (SP) [500 Years in the Future],Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R930.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/okiku-sp-500-years-in-the-future
OP03-114,995.0,Charlotte Linlin (SP) [Wings of the Captain],Super Rare,Big Bang Shop,Wings of the Captain,Near Mint Foil,In stock,Near Mint Foil R995.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/charlotte-linlin-sp-wings-of-the-captain
OP06-106,2680.0,Kouzuki Hiyori (Alternate Art) [Premium Booster -The Best-],Super Rare,Big Bang Shop,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R2680.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/kouzuki-hiyori-alternate-art-premium-booster-the-best
ST01-006,4435.0,Tony Tony.Chopper (Gift Collection 2023) [One Piece Promotion Cards],Common,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R4435.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/tony-tony-chopper-gift-collection-2023-one-piece-promotion-cards
