card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP08-087,1.0,Scratchmen Apoo (OP08-087) (Reprint) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-reprint-premium-booster-the-best-vol-2
OP08-087,1.0,Scratchmen Apoo [Two Legends],Uncommon,Knightly Gaming,Two Legends,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-two-legends
OP08-087,3.0,Scratchmen Apoo (OP08-087) (Pirate Foil) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-pirate-foil-premium-booster-the-best-vol-2
OP11-038,3.0,Gum-Gum Elephant Gatling [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-elephant-gatling-a-fist-of-divine-speed
OP11-114,3.0,Gum-Gum Fire-Fist Pistol Red Hawk [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-fire-fist-pistol-red-hawk-a-fist-of-divine-speed
ST01-011,3.0,Brook (ST01-011) (Reprint) [Premium Booster -The Best- Vol. 2],Common,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/brook-st01-011-reprint-premium-booster-the-best-vol-2
ST01-014,3.0,Guard Point [Starter Deck: Straw Hat Crew],Common,Knightly Gaming,Starter Deck: Straw Hat Crew,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/guard-point-starter-deck-straw-hat-crew
OP10-071,85.0,Donquixote Doflamingo [Royal Blood],Super Rare,Knightly Gaming,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R85.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/donquixote-doflamingo-royal-blood
OP05-074,319.0,"Eustass""Captain""Kid (OP05-074) (Alternate Art) [Premium Booster -The Best-]",Super Rare,Knightly Gaming,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R319.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/eustasscaptainkid-op05-074-alternate-art-premium-booster-the-best
OP14-091,380.0,Mr.2.Bon.Kurei (Bentham) (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R380.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/mr-2-bon-kurei-bentham-alternate-art-the-azure-seas-seven
OP06-115,525.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R525.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP14-033,557.0,Perona (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R557.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/perona-alternate-art-the-azure-seas-seven
OP12-119,620.0,Bartholomew Kuma (Alternate Art) [Legacy of the Master],Secret Rare,Knightly Gaming,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R620.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/bartholomew-kuma-alternate-art-legacy-of-the-master
OP13-108,638.0,Jewelry Bonney (Alternate Art) [Carrying On His Will],Super Rare,Knightly Gaming,Carrying On His Will,Near Mint Foil,In stock,Near Mint Foil R638.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/jewelry-bonney-alternate-art-carrying-on-his-will
OP02-001,659.0,Edward.Newgate (Special Goods Set -Former Four Emperors-) [One Piece Promotion Cards],Leader,Knightly Gaming,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R659.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/edward-newgate-special-goods-set-former-four-emperors-one-piece-promotion-cards
OP11-054,727.0,Nami (054) (Alternate Art) [A Fist of Divine Speed],Super Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R727.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-054-alternate-art-a-fist-of-divine-speed
OP14-084,930.0,Ms. All Sunday (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R930.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ms-all-sunday-alternate-art-the-azure-seas-seven
